question,answer
What major event or product is described in the article dated 29/10/2024?,"The Flat by Macan is a unique, inflatable leisure space, created by Porsche Italia and Lux Entertainment."
What is the title of the article published on 25/10/2024?,Porsche remains on course and confirms forecast for full year 2024
What is the content summary of the article titled 'Porsche remains on course and confirms forecast for full year 2024'?,Porsche AG continued on its planned course in the first nine months of 2024.
Where can I read the article 'Porsche remains on course and confirms forecast for full year 2024'?,https://newsroom.porsche.com/en/2024/company/porsche-third-quarter-2024-profit-sales-revenue-37672.html
What category does the article 'Porsche remains on course and confirms forecast for full year 2024' belong to?,Company
What major event or product is described in the article dated 25/10/2024?,Porsche AG continued on its planned course in the first nine months of 2024.
What is the title of the article published on 24/10/2024?,Expressive appearance: the new Porsche 99X Electric
What is the content summary of the article titled 'Expressive appearance: the new Porsche 99X Electric'?,Porsche has presented its Formula E car for the next two seasons: the new Porsche 99X Electric.
Where can I read the article 'Expressive appearance: the new Porsche 99X Electric'?,https://newsroom.porsche.com/en/2024/motorsports/porsche-99x-electric-gen3-evo-world-premiere-37651.html
What category does the article 'Expressive appearance: the new Porsche 99X Electric' belong to?,Motorsports
What major event or product is described in the article dated 24/10/2024?,Porsche has presented its Formula E car for the next two seasons: the new Porsche 99X Electric.
What is the title of the article published on 23/10/2024?,Three records on three continents: Taycan Turbo GT with Weissach package
What is the content summary of the article titled 'Three records on three continents: Taycan Turbo GT with Weissach package'?,"After setting records at the Nordschleife and in Laguna Seca, the Taycan Turbo GT has now achieved success in Shanghai."
Where can I read the article 'Three records on three continents: Taycan Turbo GT with Weissach package'?,https://newsroom.porsche.com/en/2024/products/porsche-taycan-turbo-gt-weissach-package-lap-record-shanghai-37635.html
What category does the article 'Three records on three continents: Taycan Turbo GT with Weissach package' belong to?,Products
What major event or product is described in the article dated 23/10/2024?,"After setting records at the Nordschleife and in Laguna Seca, the Taycan Turbo GT has now achieved success in Shanghai."
What is the title of the article published on 22/10/2024?,Porsche Penske Motorsport switches up its driver squad for the 2025 season
What is the content summary of the article titled 'Porsche Penske Motorsport switches up its driver squad for the 2025 season'?,Porsche is tweaking its Porsche Penske Motorsport works team driver lineup for the 2025 season.
Where can I read the article 'Porsche Penske Motorsport switches up its driver squad for the 2025 season'?,https://newsroom.porsche.com/en/2024/motorsports/porsche-works-driver-2025-imsa-weathertech-sportscar-championship-fia-world-endurance-championship-wec-37621.html
What category does the article 'Porsche Penske Motorsport switches up its driver squad for the 2025 season' belong to?,Motorsports
What major event or product is described in the article dated 22/10/2024?,Porsche is tweaking its Porsche Penske Motorsport works team driver lineup for the 2025 season.
What is the title of the article published on 22/10/2024?,Porsche presents a limited-edition espresso machine with La Marzocco
What is the content summary of the article titled 'Porsche presents a limited-edition espresso machine with La Marzocco'?,Italian coffee machine manufacturer La Marzocco is producing an espresso machine in collaboration with Porsche.
Where can I read the article 'Porsche presents a limited-edition espresso machine with La Marzocco'?,https://newsroom.porsche.com/en/2024/company/porsche-la-marzocco-espresso-machine-37613.html
What category does the article 'Porsche presents a limited-edition espresso machine with La Marzocco' belong to?,Company
What major event or product is described in the article dated 22/10/2024?,Italian coffee machine manufacturer La Marzocco is producing an espresso machine in collaboration with Porsche.
What is the title of the article published on 20/10/2024?,"Fourth title for Larry ten Voorde, first win for Ariel Levi"
"What is the content summary of the article titled 'Fourth title for Larry ten Voorde, first win for Ariel Levi'?",The championship titles of the Porsche Sixt Carrera Cup Deutschland have been decided in a turbulent season finale.
"Where can I read the article 'Fourth title for Larry ten Voorde, first win for Ariel Levi'?",https://newsroom.porsche.com/en/ppdb/2024/10/fourth-title-for-larry-ten-voorde-first-win-for-ariel-levi.html
"What category does the article 'Fourth title for Larry ten Voorde, first win for Ariel Levi' belong to?",Motorsports
What major event or product is described in the article dated 20/10/2024?,The championship titles of the Porsche Sixt Carrera Cup Deutschland have been decided in a turbulent season finale.
What is the title of the article published on 18/10/2024?,Double Premiere: The new 911 GT3 and 911 GT3 with Touring package
What is the content summary of the article titled 'Double Premiere: The new 911 GT3 and 911 GT3 with Touring package'?,The 911 GT3 has offered the ultimate combination of racing genes and day-to-day usability since its introduction in 1999.
Where can I read the article 'Double Premiere: The new 911 GT3 and 911 GT3 with Touring package'?,https://newsroom.porsche.com/en/2024/products/porsche-the-new-911-gt3-double-premiere-37595.html
What category does the article 'Double Premiere: The new 911 GT3 and 911 GT3 with Touring package' belong to?,Products
What major event or product is described in the article dated 18/10/2024?,The 911 GT3 has offered the ultimate combination of racing genes and day-to-day usability since its introduction in 1999.
